background
Time : 8.16e+01second, Name: bird_bg05.wav
Time : 9.37e+01second, Name: constructionSite_bg25.wav
Time : 1.07e+02second, Name: crowd_bg06.wav
Time : 6.06e+01second, Name: fountain_bg03.wav
Time : 8.00e+01second, Name: constructionSite_bg27.wav
Time : 1.20e+02second, Name: wind_tree_bg14..wav
Time : 5.99e+01second, Name: bird_bg06.wav
Time : 9.02e+01second, Name: wind_tree_bg04.wav
Time : 3.57e+01second, Name: traffic_bg05.wav
Time : 9.09e+01second, Name: constructionSite_bg23.wav
Time : 3.00e+01second, Name: constructionSite_bg01.wav
Time : 4.41e+01second, Name: wind_tree_bg09.wav
Time : 1.10e+02second, Name: park_bg06.wav
Time : 1.01e+02second, Name: park_bg03.wav
Time : 5.56e+01second, Name: constructionSite_bg17.wav
Time : 9.00e+01second, Name: rain_bg06.wav
Time : 6.00e+01second, Name: crowd_bg03.wav
Time : 1.05e+02second, Name: park_bg24.wav
Time : 9.00e+01second, Name: bird_bg16.wav
Time : 9.00e+01second, Name: park_bg13.wav
Time : 1.20e+02second, Name: park_bg15.wav
Time : 6.00e+01second, Name: traffic_bg03.wav
Time : 1.20e+02second, Name: bird_bg18.wav
Time : 8.70e+01second, Name: bird_bg12.wav
Time : 6.00e+01second, Name: bird_bg09.wav
Time : 9.79e+01second, Name: park_bg01.wav
Time : 8.50e+01second, Name: constructionSite_bg14.wav
Time : 9.00e+01second, Name: rain_bg07.wav
Time : 5.54e+01second, Name: crowd_bg07.wav
Time : 9.50e+01second, Name: rain_bg13.wav
Time : 6.48e+01second, Name: schoolyard_bg12.wav
Time : 6.66e+01second, Name: bird_bg03.wav
Time : 8.00e+01second, Name: wind_tree_bg11.wav
Time : 8.08e+01second, Name: wind_tree_bg02.wav
Time : 9.83e+01second, Name: rain_bg14.wav
Time : 5.49e+01second, Name: bird_bg25.wav
Time : 1.01e+02second, Name: schoolyard_bg05.wav
Time : 1.20e+02second, Name: ventilation_bg05.wav
Time : 1.20e+02second, Name: wind_tree_bg15..wav
Time : 5.00e+01second, Name: schoolyard_bg07.wav
Time : 6.00e+01second, Name: crowd_bg10.wav
Time : 4.40e+01second, Name: traffic_bg06.wav
Time : 5.53e+01second, Name: fountain_bg01.wav
Time : 7.93e+01second, Name: wind_tree_bg01.wav
Time : 6.00e+01second, Name: park_bg02.wav
Time : 9.93e+01second, Name: constructionSite_bg12.wav
Time : 1.20e+02second, Name: constructionSite_bg20.wav
Time : 6.00e+01second, Name: traffic_bg04.wav
Time : 7.50e+01second, Name: traffic_bg02.wav
Time : 6.38e+01second, Name: constructionSite_bg24.wav
Time : 5.35e+01second, Name: schoolyard_bg08.wav
Time : 1.20e+02second, Name: ventilation_bg04.wav
Time : 7.93e+01second, Name: park_bg05.wav
Time : 5.50e+01second, Name: schoolyard_bg01.wav
Time : 2.88e+01second, Name: fountain_bg02.wav
Time : 1.20e+02second, Name: constructionSite_bg11.wav
Time : 8.95e+01second, Name: ventilation_bg08.wav
Time : 6.10e+01second, Name: schoolyard_bg09.wav
Time : 1.13e+02second, Name: constructionSite_bg22.wav
Time : 8.04e+01second, Name: bird_bg02.wav
Time : 9.00e+01second, Name: constructionSite_bg02.wav
Time : 5.30e+01second, Name: crowd_bg08.wav
Time : 9.00e+01second, Name: park_bg23.wav
Time : 7.26e+01second, Name: park_bg18.wav
Time : 6.26e+01second, Name: park_bg17.wav
Time : 1.20e+02second, Name: constructionSite_bg05.wav
Time : 6.07e+01second, Name: ventilation_bg07.wav
Time : 6.00e+01second, Name: bird_bg10.wav
Time : 8.54e+01second, Name: constructionSite_bg28.wav
Time : 1.20e+02second, Name: ventilation_bg06.wav
Time : 9.00e+01second, Name: constructionSite_bg03.wav
Time : 6.00e+01second, Name: traffic_bg08.wav
Time : 6.00e+01second, Name: park_bg04.wav
Time : 6.00e+01second, Name: crowd_bg11.wav
Time : 1.20e+02second, Name: park_bg07.wav
